# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EEhighR9scale       0.0000     0.0196     0.0322    
EEhighR9smear       0.0000     0.0190     0.0318    

diphotonCat=10
proc=zh
EBlowR9scale        0.0030     0.0068     0.0201    
EBlowR9smear        0.0001     0.0997     0.0195    
EBhighR9scale       0.0058     0.0333     0.0190    
EBhighR9smear       0.0001     0.1748     0.0193    
EElowR9scale        0.0001     0.0158     0.0192    
EElowR9smear        0.0001     0.0158     0.0192    
EEhighR9scale       0.0001     0.0158     0.0192    
EEhighR9smear       0.0001     0.0158     0.0192    

diphotonCat=10
proc=tth
EBlowR9scale        0.0024     0.0333     0.0280    
EBlowR9smear        0.0001     0.0987     0.0284    
EBhighR9scale       0.0058     0.0620     0.0274    
EBhighR9smear       0.0001     0.2753     0.0283    
EElowR9scale        0.0000     0.0022     0.0282    
EElowR9smear        0.0000     0.0020     0.0282    
EEhighR9scale       0.0000     0.0020     0.0282    
EEhighR9smear       0.0000     0.0020     0.0282    

diphotonCat=11
proc=ggh
EBlowR9scale        0.0023     0.0943     0.3294    
EBlowR9smear        0.0004     0.1983     0.3294    
EBhighR9scale       0.0054     0.0489     0.3294    
EBhighR9smear       0.0004     0.2405     0.3294    
EElowR9scale        0.0004     0.2839     0.3294    
EElowR9smear        0.0004     0.2839     0.3294    
EEhighR9scale       0.0004     0.2839     0.3294    
EEhighR9smear       0.0004     0.2839     0.3294    

diphotonCat=11
proc=vbf
EBlowR9scale        0.0030     0.2136     0.3887    
EBlowR9smear        0.0016     0.1860     0.3887    
EBhighR9scale       0.0048     0.1561     0.3887    
EBhighR9smear       0.0012     0.2787     0.3887    
EElowR9scale        0.0010     0.0978     0.3887    
EElowR9smear        0.0010     0.0978     0.3887    
EEhighR9scale       0.0010     0.0978     0.3887    
EEhighR9smear       0.0010     0.0978     0.3887    

diphotonCat=11
proc=wh
EBlowR9scale        0.0028     0.0252     0.0307    
EBlowR9smear        0.0001     0.1305     0.0311    
EBhighR9scale       0.0057     0.0681     0.0322    
EBhighR9smear       0.0000     0.2114     0.0323    
EElowR9scale        0.0000     0.0190     0.0318    
EElowR9smear        0.0000     0.0190     0.0318    
EEhighR9scale       0.0000     0.0196     0.0322    
EEhighR9smear       0.0000     0.0190     0.0318    

diphotonCat=11
proc=zh
EBlowR9scale        0.0030     0.0068     0.0201    
EBlowR9smear        0.0001     0.0997     0.0195    
EBhighR9scale       0.0058     0.0333     0.0190    
EBhighR9smear       0.0001     0.1748     0.0193    
EElowR9scale        0.0001     0.0158     0.0192    
EElowR9smear        0.0001     0.0158     0.0192    
EEhighR9scale       0.0001     0.0158     0.0192    
EEhighR9smear       0.0001     0.0158     0.0192    

diphotonCat=11
proc=tth
EBlowR9scale        0.0024     0.0333     0.0280    
EBlowR9smear        0.0001     0.0987     0.0284    
EBhighR9scale       0.0058     0.0620     0.0274    
EBhighR9smear       0.0001     0.2753     0.0283    
EElowR9scale        0.0000     0.0022     0.0282    
EElowR9smear        0.0000     0.0020     0.0282    
EEhighR9scale       0.0000     0.0020     0.0282    
EEhighR9smear       0.0000     0.0020     0.0282    

diphotonCat=12
proc=ggh
EBlowR9scale        0.0023     0.0943     0.3294    
EBlowR9smear        0.0004     0.1983     0.3294    
EBhighR9scale       0.0054     0.0489     0.3294    
EBhighR9smear       0.0004     0.2405     0.3294    
EElowR9scale        0.0004     0.2839     0.3294    
EElowR9smear        0.0004     0.2839     0.3294    
EEhighR9scale       0.0004     0.2839     0.3294    
EEhighR9smear       0.0004     0.2839     0.3294    

diphotonCat=12
proc=vbf
EBlowR9scale        0.0030     0.2136     0.3887    
EBlowR9smear        0.0016     0.1860     0.3887    
EBhighR9scale       0.0048     0.1561     0.3887    
EBhighR9smear       0.0012     0.2787     0.3887    
EElowR9scale        0.0010     0.0978     0.3887    
EElowR9smear        0.0010     0.0978     0.3887    
EEhighR9scale       0.0010     0.0978     0.3887    
EEhighR9smear       0.0010     0.0978     0.3887    

diphotonCat=12
proc=wh
EBlowR9scale        0.0028     0.0252     0.0307    
EBlowR9smear        0.0001     0.1305     0.0311    
EBhighR9scale       0.0057     0.0681     0.0322    
EBhighR9smear       0.0000     0.2114     0.0323    
EElowR9scale        0.0000     0.0190     0.0318    
EElowR9smear        0.0000     0.0190     0.0318    
EEhighR9scale       0.0000     0.0196     0.0322    
EEhighR9smear       0.0000     0.0190     0.0318    

diphotonCat=12
proc=zh
